status,open_id,open_date,open_price,side,size,sl,tp,fee,order_comment,close_id,close_date,close_price,order_profit,zone,zone_profit
close,1617651115,"2021-04-06, 02:31:55",0.499725,sell,12.0,,,0.00478764,close 0.497425,1617652105,"2021-04-06, 02:48:25",0.497425,0.022812359999999626,0.33,0.04628180800000002
close,1617647537,"2021-04-06, 01:32:17",0.84115,buy,7.1,,,0.004767222,close 0.8367,1617652228,"2021-04-06, 02:50:28",0.83705,-0.03387722200000019,0.335,0.08332753199999975
close,1617647537,"2021-04-06, 01:32:17",0.5061,sell,11.9,,,0.0047702460000000006,close 0.4958,1617652228,"2021-04-06, 02:50:28",0.49585,0.11720475399999994,0.335,0.08332753199999975
close,1617652521,"2021-04-06, 02:55:21",0.831825,buy,7.2,,,0.004816824,close 0.8392,1617652815,"2021-04-06, 03:00:15",0.839175,0.048103175999999415,0.335,0.02453591999999978
close,1617652521,"2021-04-06, 02:55:21",0.49685,sell,12.1,,,0.004812256,close 0.4984,1617652816,"2021-04-06, 03:00:15",0.4984,-0.023567255999999634,0.335,0.02453591999999978
close,1617647326,"2021-04-06, 01:28:46",0.849625,buy,7.1,,,0.0048244970000000005,close 0.8501,1617653163,"2021-04-06, 03:06:03",0.850175,-0.0009194969999995091,0.34,0.05271150500000078
close,1617647326,"2021-04-06, 01:28:46",0.508975,sell,11.8,,,0.004778998,close 0.504,1617653163,"2021-04-06, 03:06:03",0.504025,0.053631002000000295,0.34,0.05271150500000078
close,1617653994,"2021-04-06, 03:19:54",0.8434,buy,7.1,,,0.004818047,close 0.851875,1617654125,"2021-04-06, 03:22:04",0.851425,0.05215945300000035,0.34,0.016410417000000156
close,1617653994,"2021-04-06, 03:19:54",0.5035,sell,11.9,,,0.004809036,close 0.50605,1617654125,"2021-04-06, 03:22:05",0.5061,-0.03574903600000019,0.34,0.016410417000000156
close,1617656160,"2021-04-06, 03:56:00",0.902975,buy,6.6,,,0.004777516000000001,close 0.90815,1617656166,"2021-04-06, 03:56:06",0.90815,0.029377484000000155,0.385,0.03472883599999959
close,1617656160,"2021-04-06, 03:56:00",0.517825,sell,11.6,,,0.004798648,close 0.51695,1617656167,"2021-04-06, 03:56:06",0.51695,0.005351351999999437,0.385,0.03472883599999959
close,1617656215,"2021-04-06, 03:56:54",0.9076,buy,6.6,,,0.004789662,close 0.905625,1617657773,"2021-04-06, 04:22:53",0.905175,-0.020794661999999825,0.39,0.06781986599999998
close,1617656215,"2021-04-06, 03:56:55",0.51785,sell,11.6,,,0.004765472,close 0.509975,1617657773,"2021-04-06, 04:22:53",0.5098,0.0886145279999998,0.39,0.06781986599999998
close,1617658146,"2021-04-06, 04:29:06",0.92425,buy,6.5,,,0.004817155,close 0.929225,1617658261,"2021-04-06, 04:31:01",0.929675,0.030445344999999974,0.405,0.03374880899999899
close,1617658147,"2021-04-06, 04:29:06",0.51935,sell,11.6,,,0.004816536,close 0.518675,1617658261,"2021-04-06, 04:31:01",0.51865,0.003303463999999017,0.405,0.03374880899999899
